Time (s),Velocity Beam 1 (m/s),Velocity Beam 2 (m/s),Velocity Beam 3 (m/s),Velocity Beam 4 (m/s)
1720611619.638,"[0.0475, 0.0224, 0.0126]","[0.1289, 0.0273, 0.0183]","[0.0521, -0.0115, 0.0051]","[-0.0072, -0.0436, 0.0155]"
1720611619.653,"[0.0211, 0.0018, -0.017]","[0.0782, 0.0299, 0.0317]","[0.075, 0.0208, 0.0279]","[-0.0328, -0.04, -0.0042]"
1720611619.653,"[0.0364, 0.0012, 0.0521]","[0.0941, 0.018, -0.0139]","[0.1096, 0.0372, 0.0413]","[0.0743, -0.0295, 0.0464]"
1720611619.669,"[0.0853, -0.0269, 0.0715]","[0.0987, 0.0182, -0.0121]","[0.1285, 0.0022, 0.0441]","[0.1003, -0.0559, 0.0806]"
1720611619.685,"[0.0607, 0.0002, 0.0653]","[0.1532, 0.038, 0.0257]","[0.0957, 0.015, 0.0507]","[0.003, -0.019, 0.0739]"
1720611619.685,"[-0.0148, 0.0221, 0.0458]","[0.0423, 0.0587, 0.0296]","[-0.0315, 0.0428, 0.0402]","[-0.0447, 0.0149, 0.0581]"
1720611619.7,"[-0.0056, 0.0404, 0.0371]","[0.075, 0.086, 0.0302]","[0.0451, 0.0812, 0.0373]","[0.0202, 0.0073, 0.0533]"
1720611619.707,"[0.041, 0.0405, 0.0315]","[0.0763, 0.0486, 0.0211]","[0.1135, 0.077, 0.0381]","[0.0735, 0.0528, 0.055]"
1720611619.722,"[0.0961, 0.0435, 0.047]","[0.1008, 0.0358, 0.0231]","[0.1056, 0.0576, 0.04]","[0.0794, 0.0595, 0.065]"
1720611619.722,"[0.1057, 0.0511, 0.069]","[0.1153, 0.0315, 0.0365]","[0.1104, 0.0612, 0.0313]","[0.1092, 0.0587, 0.0602]"
1720611619.738,"[0.0869, 0.0751, 0.0878]","[0.118, 0.0449, 0.0445]","[0.0767, 0.0596, 0.0652]","[0.0224, 0.0859, 0.1071]"
1720611619.785,"[0.1013, 0.0982, 0.1118]","[0.1363, 0.0566, 0.0558]","[0.0646, 0.0657, 0.0754]","[0.0771, 0.1115, 0.1301]"
1720611619.785,"[0.1142, 0.1395, 0.1292]","[0.1819, 0.1006, 0.097]","[0.0982, 0.1052, 0.1073]","[0.1297, 0.1519, 0.1637]"
1720611619.785,"[0.1796, 0.1331, 0.1295]","[0.1327, 0.0998, 0.1209]","[0.0916, 0.1148, 0.1067]","[0.1311, 0.1488, 0.1557]"
1720611619.785,"[0.1443, 0.1468, 0.0858]","[0.1205, 0.1227, 0.1006]","[0.1044, 0.1277, 0.0712]","[0.1223, 0.1561, 0.1122]"
1720611619.785,"[0.1545, 0.1635, 0.1242]","[0.1575, 0.1432, 0.0725]","[0.1218, 0.1432, 0.0757]","[0.1334, 0.1617, 0.0787]"
1720611619.801,"[0.1593, 0.1548, 0.0768]","[0.1625, 0.1428, 0.0639]","[0.102, 0.093, 0.0079]","[0.1026, 0.1264, 0.0635]"
1720611619.807,"[0.1497, 0.1376, 0.0835]","[0.159, 0.102, 0.0554]","[0.0838, 0.0303, -0.0085]","[0.0795, 0.1054, 0.0537]"
1720611619.823,"[0.1241, 0.0885, 0.104]","[0.1473, 0.0775, 0.0617]","[0.0471, -0.0004, 0.0269]","[0.0588, 0.0492, 0.0452]"
1720611619.823,"[0.104, 0.102, 0.037]","[0.0881, 0.0971, 0.0873]","[0.0215, 0.0327, 0.0399]","[0.034, 0.0745, 0.0235]"
1720611619.838,"[0.0973, 0.1673, 0.0251]","[0.0626, 0.1558, 0.1551]","[-0.0245, 0.0632, 0.0993]","[0.0448, 0.113, 0.0517]"
1720611619.854,"[0.1917, 0.0816, 0.0505]","[0.0436, 0.0288, 0.0137]","[-0.0211, -0.0286, 0.0746]","[0.0362, 0.0408, -0.0246]"
1720611619.854,"[0.1244, 0.0825, 0.0954]","[0.0464, 0.0344, 0.0311]","[-0.0235, -0.0266, 0.0079]","[0.0346, 0.0497, 0.0055]"
1720611619.87,"[0.105, 0.0915, 0.0155]","[0.0405, 0.0428, 0.0581]","[-0.1014, -0.0316, 0.0282]","[0.061, 0.0941, 0.0092]"
1720611619.885,"[0.1388, 0.1211, -0.0456]","[-0.0177, 0.0209, 0.0171]","[-0.1353, -0.1386, -0.0464]","[0.1082, 0.0437, 0.0276]"
1720611619.885,"[0.117, -0.0913, -0.0326]","[0.0758, -0.1793, -0.1475]","[-0.2756, -0.2306, -0.1574]","[-0.1504, -0.1298, 0.0151]"
1720611619.901,"[-0.0929, -0.1048, 0.0887]","[-0.1384, -0.1962, -0.0964]","[-0.2698, -0.2278, -0.2053]","[-0.2091, -0.135, -0.0893]"
1720611619.923,"[-0.1179, -0.007, -0.035]","[-0.0931, -0.0695, -0.1282]","[-0.0978, -0.0723, -0.2057]","[-0.1217, -0.0503, 0.0279]"
1720611619.923,"[0.0404, 0.048, 0.1319]","[-0.0801, -0.0268, -0.1118]","[-0.0814, -0.0728, -0.0494]","[0.0442, 0.0455, -0.0229]"
1720611619.923,"[0.0697, 0.1125, 0.1135]","[-0.0199, -0.0142, -0.0056]","[-0.006, -0.0479, -0.0281]","[0.064, 0.0714, 0.0793]"
1720611619.939,"[0.166, 0.1082, 0.1095]","[-0.0481, -0.0083, -0.0091]","[-0.0729, -0.0207, -0.0384]","[0.1407, 0.1077, 0.0887]"
1720611619.954,"[0.0586, 0.0975, 0.1793]","[-0.0661, -0.022, -0.0005]","[-0.0942, -0.0429, 0.0198]","[0.026, 0.0723, 0.0788]"
1720611619.954,"[0.051, 0.0998, 0.0958]","[-0.0636, -0.0372, -0.0005]","[-0.0652, -0.0638, -0.074]","[0.0216, 0.0634, 0.0868]"
1720611619.975,"[0.0927, 0.105, 0.0661]","[-0.0428, -0.037, -0.0554]","[-0.0375, -0.0785, -0.1096]","[0.0883, 0.0625, 0.0359]"
1720611619.978,"[0.1236, 0.2702, 0.1602]","[0.0958, 0.077, -0.0455]","[-0.2061, -0.0425, -0.0922]","[0.0923, 0.1547, -0.1089]"
1720611619.994,"[0.2226, 0.3191, 0.3264]","[0.0562, 0.0483, 0.0354]","[-0.1775, -0.0646, -0.114]","[0.1179, 0.1251, 0.1979]"
1720611619.994,"[0.0713, -0.0171, 0.2798]","[-0.1587, -0.1744, 0.0607]","[-0.3042, -0.3239, -0.0376]","[-0.1483, -0.1459, 0.1304]"
1720611620.007,"[-0.0587, -0.0768, 0.0298]","[-0.135, -0.2421, -0.1257]","[-0.2986, -0.33, -0.1725]","[-0.1639, -0.1583, -0.0836]"
1720611620.023,"[-0.1141, -0.0505, 0.1244]","[-0.2639, -0.2324, -0.2112]","[-0.3359, -0.3166, -0.2683]","[-0.1939, -0.1283, 0.0467]"
1720611620.023,"[-0.1352, -0.0558, 0.0602]","[-0.2488, -0.1735, -0.1106]","[-0.3033, -0.2728, -0.0473]","[-0.0447, -0.1301, 0.0012]"
1720611620.039,"[0.0628, 0.03, 0.0485]","[0.006, -0.1202, -0.1375]","[-0.134, -0.195, -0.1925]","[-0.0693, -0.0613, -0.0499]"
1720611620.054,"[0.1515, 0.1132, 0.1032]","[0.0179, -0.0092, -0.009]","[-0.1272, -0.0844, -0.1303]","[0.0345, 0.0431, 0.0324]"
1720611620.054,"[0.1236, 0.1608, 0.2003]","[-0.006, 0.028, 0.0173]","[-0.1017, -0.0815, -0.0888]","[0.0033, 0.0512, 0.0688]"
1720611620.086,"[0.1768, 0.1535, 0.1459]","[0.027, 0.0305, 0.034]","[-0.1039, -0.1052, -0.1183]","[0.036, 0.0243, 0.0411]"
1720611620.086,"[0.2058, 0.2162, 0.2149]","[0.0046, 0.0659, 0.0678]","[-0.0312, -0.0169, 0.005]","[0.1405, 0.1249, 0.131]"
1720611620.086,"[0.2484, 0.219, 0.1809]","[0.0339, 0.0777, 0.0805]","[-0.0526, 0.0062, -0.0003]","[0.1152, 0.1419, 0.1437]"
1720611620.101,"[0.1555, 0.1775, 0.104]","[-0.0014, 0.0556, -0.0286]","[-0.0383, -0.1018, -0.1197]","[0.0735, 0.1059, 0.0703]"
1720611620.108,"[0.2466, 0.2361, 0.1895]","[0.0694, 0.0636, 0.0357]","[-0.034, -0.0264, -0.0172]","[0.1098, 0.1278, 0.1512]"
1720611620.123,"[0.1858, 0.1762, 0.1609]","[-0.0593, 0.026, 0.0311]","[-0.1631, -0.0527, -0.0396]","[-0.039, 0.0881, 0.1213]"
1720611620.123,"[-0.019, -0.1069, 0.1038]","[-0.1346, -0.166, -0.0068]","[-0.161, -0.3057, -0.1424]","[-0.0351, -0.1906, 0.0335]"
1720611620.139,"[0.0282, 0.0122, 0.0822]","[0.0419, -0.1079, -0.1045]","[0.0126, -0.1285, -0.1054]","[0.1316, 0.0075, 0.017]"
1720611620.155,"[0.1458, 0.0468, 0.0531]","[0.0327, -0.1111, -0.11]","[-0.0204, -0.1267, -0.1515]","[0.1087, 0.0204, 0.0343]"
1720611620.155,"[0.1461, 0.1651, 0.1538]","[-0.0075, -0.0384, -0.047]","[-0.0778, -0.113, -0.117]","[-0.0217, 0.0936, 0.0916]"
1720611620.17,"[0.07, 0.1506, 0.2476]","[-0.1969, -0.0415, 0.0164]","[-0.1969, -0.0899, -0.0684]","[-0.0013, 0.1004, 0.1197]"
1720611620.17,"[-0.0911, 0.1398, 0.1042]","[-0.0652, 0.004, -0.0384]","[-0.1007, -0.0655, -0.0579]","[0.0248, 0.0738, 0.1356]"
1720611620.186,"[-0.0152, 0.0434, 0.0751]","[-0.1002, -0.0578, -0.132]","[-0.0796, -0.1096, -0.1113]","[-0.0727, 0.0015, 0.0373]"
1720611620.201,"[-0.0211, 0.0364, 0.2294]","[-0.0475, -0.0182, 0.0249]","[-0.0267, -0.0841, -0.0578]","[0.0117, 0.0034, 0.0836]"
1720611620.208,"[0.0177, 0.0065, -0.1077]","[-0.211, -0.0242, 0.0256]","[-0.2414, -0.1396, -0.0631]","[0.0225, -0.0623, 0.0374]"
1720611620.224,"[-0.1961, -0.1068, -0.172]","[-0.2581, -0.1928, -0.22]","[-0.2964, -0.2672, -0.0991]","[-0.2048, -0.156, -0.2595]"
1720611620.239,"[-0.1029, -0.1131, -0.0338]","[-0.2137, -0.2504, -0.2146]","[-0.28, -0.2992, -0.2784]","[-0.1827, -0.1695, -0.0468]"
1720611620.239,"[-0.0896, -0.0417, -0.0312]","[-0.1643, -0.1858, -0.1084]","[-0.2208, -0.2052, -0.1916]","[-0.1293, -0.0903, -0.0884]"
1720611620.255,"[-0.0574, -0.0322, -0.0258]","[-0.0609, -0.1473, -0.1433]","[-0.159, -0.1901, -0.1779]","[-0.0808, -0.0546, -0.0766]"
1720611620.255,"[0.0975, 0.0505, 0.1825]","[-0.0237, -0.0691, -0.0678]","[-0.1045, -0.1231, -0.1406]","[-0.0025, -0.0065, 0.0598]"
1720611620.27,"[0.0864, 0.0952, 0.1251]","[-0.0325, -0.0631, -0.0274]","[-0.1212, -0.0954, -0.1266]","[-0.0037, 0.0556, 0.0233]"
1720611620.27,"[0.1096, -0.0213, 0.1706]","[-0.0344, -0.1268, -0.0077]","[-0.1719, -0.2187, -0.173]","[0.0083, -0.1086, -0.0018]"
1720611620.286,"[0.0793, -0.0154, 0.0513]","[-0.1186, -0.139, -0.1406]","[-0.2103, -0.2118, -0.2064]","[-0.0135, -0.1044, -0.0531]"
1720611620.302,"[-0.0412, -0.0136, 0.0668]","[-0.1825, -0.0977, -0.0722]","[-0.2539, -0.1984, -0.1314]","[-0.2266, -0.1042, -0.0074]"
1720611620.308,"[-0.2176, -0.0752, 0.0266]","[-0.2414, -0.1266, -0.1014]","[-0.2955, -0.1923, -0.1168]","[-0.1665, -0.1407, -0.0131]"
1720611620.324,"[-0.2352, -0.0922, -0.3005]","[-0.2878, -0.1768, -0.2056]","[-0.3105, -0.2438, -0.3087]","[-0.2558, -0.0316, -0.3125]"
1720611620.324,"[-0.17, -0.1117, -0.2907]","[-0.1757, -0.1373, -0.2875]","[-0.2222, -0.1965, -0.3273]","[-0.2271, -0.2164, -0.3162]"
1720611620.34,"[-0.17, -0.162, -0.14]","[-0.1949, -0.1584, -0.1909]","[-0.2281, -0.2575, -0.2536]","[-0.2005, -0.187, -0.2147]"
1720611620.355,"[-0.2341, -0.166, -0.1362]","[-0.218, -0.1601, -0.1879]","[-0.2085, -0.226, -0.222]","[-0.1891, -0.1901, -0.1756]"
1720611620.355,"[-0.2313, -0.1968, -0.1037]","[-0.2316, -0.2085, -0.146]","[-0.2319, -0.2148, -0.1666]","[-0.2197, -0.1954, -0.1662]"
1720611620.371,"[-0.216, -0.1804, -0.1464]","[-0.2181, -0.1901, -0.157]","[-0.2357, -0.1985, -0.2065]","[-0.2352, -0.1924, -0.1529]"
1720611620.371,"[-0.1949, -0.1937, -0.1544]","[-0.2267, -0.1965, -0.1559]","[-0.2285, -0.2229, -0.2245]","[-0.2188, -0.2127, -0.1699]"
1720611620.409,"[-0.1464, -0.1752, -0.1437]","[-0.1723, -0.1931, -0.1884]","[-0.1766, -0.2174, -0.186]","[-0.1852, -0.1958, -0.1594]"
1720611620.409,"[-0.1129, -0.1761, -0.05]","[-0.0475, -0.1927, -0.1786]","[-0.055, -0.22, -0.2216]","[-0.0365, -0.1914, -0.1387]"
1720611620.409,"[0.0156, -0.0478, -0.0508]","[0.0215, -0.082, -0.1837]","[-0.0568, -0.123, -0.2032]","[-0.0202, -0.1108, -0.1262]"
1720611620.424,"[0.0169, 0.0377, -0.0244]","[-0.0351, 0.0082, -0.1201]","[-0.0434, 0.003, -0.2124]","[-0.0173, -0.0266, -0.0257]"
1720611620.424,"[-0.0058, 0.1013, -0.0353]","[-0.015, -0.0089, -0.1314]","[-0.0617, 0.0103, -0.0954]","[-0.0208, 0.0029, -0.0251]"
1720611620.44,"[-0.0301, 0.0942, 0.0953]","[-0.0875, 0.0105, 0.0486]","[-0.2043, -0.0533, -0.0839]","[-0.1278, 0.0021, 0.0561]"
1720611620.455,"[-0.0179, 0.044, 0.1507]","[0.0184, -0.0164, 0.0343]","[0.2036, 0.0547, 0.0158]","[-0.1082, -0.0699, 0.0845]"
1720611620.455,"[-0.048, -0.0437, 0.15]","[-0.0602, -0.0826, -0.006]","[-0.0679, -0.0364, -0.0047]","[-0.0807, -0.0515, 0.1181]"
1720611620.471,"[-0.0444, -0.0015, 0.1391]","[-0.0541, -0.0788, 0.0483]","[-0.0134, -0.064, 0.0244]","[-0.0835, 0.0237, 0.0905]"
1720611620.471,"[0.0444, 0.0274, 0.0892]","[-0.063, -0.0518, 0.0582]","[-0.0282, -0.0356, 0.0184]","[-0.0236, 0.0491, 0.0739]"
1720611620.487,"[0.112, 0.0832, -0.0067]","[-0.0943, 0.0729, -0.0427]","[-0.0246, 0.0069, 0.0176]","[0.0821, 0.0421, 0.067]"
1720611620.502,"[-0.071, 0.1116, -0.0307]","[0.0986, 0.0451, -0.093]","[-0.0488, 0.0805, -0.0361]","[-0.1015, 0.0226, -0.0317]"
1720611620.509,"[0.0503, 0.0333, 0.0971]","[0.063, 0.0473, -0.0505]","[-0.0449, 0.0873, -0.0624]","[-0.2916, -0.0846, -0.0171]"
1720611620.525,"[0.0075, -0.0634, 0.0141]","[0.0072, -0.0215, -0.0609]","[-0.057, -0.0449, -0.1033]","[-0.0685, 0.133, -0.0345]"
1720611620.525,"[-0.006, 0.0401, -0.0001]","[0.0143, -0.0333, -0.0417]","[-0.0355, -0.0675, -0.0645]","[0.0494, 0.0222, -0.0082]"
1720611620.54,"[0.0023, 0.0576, 0.0224]","[-0.0152, -0.0014, -0.0271]","[-0.0397, -0.0637, -0.0459]","[-0.0503, 0.0088, -0.0134]"
1720611620.556,"[0.0063, 0.0205, 0.0658]","[-0.0301, -0.0204, -0.0267]","[-0.0615, -0.0491, -0.0534]","[-0.0178, 0.0442, 0.0998]"
1720611620.556,"[-0.0235, 0.0795, 0.0442]","[-0.0366, 0.0146, 0.0042]","[-0.0975, 0.0105, -0.0161]","[-0.036, 0.0573, 0.0346]"
1720611620.571,"[0.0207, 0.0626, 0.0289]","[0.0114, 0.0207, 0.0094]","[-0.0121, 0.0088, 0.0136]","[0.0539, 0.0079, 0.04]"
1720611620.571,"[0.0987, 0.082, 0.0021]","[0.0707, 0.03, 0.0102]","[0.0444, 0.013, -0.0076]","[0.0269, 0.0102, -0.0075]"
1720611620.587,"[0.1348, 0.0713, -0.0282]","[0.0823, 0.0182, -0.0249]","[-0.0327, -0.0177, -0.0592]","[0.0917, -0.0144, -0.0594]"
1720611620.603,"[0.1332, 0.0148, 0.038]","[0.07, -0.0069, -0.0334]","[-0.0574, -0.0518, -0.1046]","[0.0827, -0.0271, -0.0325]"
1720611620.609,"[0.1267, 0.0186, -0.0237]","[-0.0176, -0.0125, -0.0531]","[-0.0503, -0.0456, -0.079]","[0.0596, 0.0185, -0.0896]"
1720611620.625,"[0.0242, 0.0555, 0.0393]","[0.0601, -0.0198, -0.1052]","[0.0186, -0.0573, -0.1699]","[0.0485, 0.0446, -0.0926]"
1720611620.625,"[0.2299, 0.2232, 0.1113]","[0.1568, 0.087, -0.0477]","[0.0033, -0.0259, -0.1413]","[0.1151, 0.129, -0.0409]"
1720611620.64,"[0.2076, 0.1392, 0.1073]","[0.0798, -0.0337, -0.0735]","[0.0037, -0.2071, -0.1712]","[0.1152, -0.0099, 0.0067]"
1720611620.64,"[0.2, 0.1663, 0.1911]","[0.091, -0.0069, -0.0426]","[-0.0831, -0.1033, -0.2281]","[0.0945, 0.064, -0.0009]"
1720611620.656,"[0.0844, -0.0163, 0.1264]","[-0.0115, -0.1063, -0.0481]","[-0.1726, -0.2374, -0.1865]","[-0.0294, -0.1519, -0.0095]"
1720611620.672,"[0.055, 0.0567, 0.0245]","[-0.0097, -0.0936, -0.0382]","[-0.0872, -0.173, -0.1624]","[0.1277, -0.1483, -0.0354]"
1720611620.672,"[0.1945, 0.1153, 0.0368]","[0.0708, -0.1118, -0.0569]","[-0.1235, -0.2535, -0.1721]","[0.08, -0.0168, -0.0501]"
1720611620.687,"[0.213, 0.058, 0.0206]","[-0.013, -0.1292, -0.1534]","[0.0095, -0.2358, -0.2673]","[0.0356, -0.048, -0.0927]"
1720611620.703,"[0.1905, 0.3684, 0.2281]","[0.0675, 0.1576, -0.1596]","[-0.0532, -0.0212, -0.2522]","[0.0972, 0.1685, -0.0062]"
1720611620.725,"[0.3003, 0.3672, 0.2043]","[0.1571, 0.1566, -0.0242]","[0.0215, -0.0328, -0.187]","[0.1702, 0.185, 0.0953]"
1720611620.725,"[0.2611, 0.3654, 0.3415]","[0.054, 0.0435, 0.0622]","[-0.0516, -0.0552, -0.0296]","[0.2054, 0.2461, -0.0547]"
1720611620.725,"[0.3097, 0.3606, 0.1732]","[0.0374, 0.0802, -0.0088]","[-0.0047, -0.0015, -0.1387]","[0.218, 0.2609, 0.0009]"
1720611620.741,"[0.2231, 0.2398, 0.1672]","[-0.0187, -0.0116, -0.0916]","[-0.0693, -0.0751, -0.2846]","[0.1068, 0.1387, -0.0446]"
1720611620.741,"[0.2537, 0.2372, 0.2086]","[-0.0175, 0.0464, -0.0419]","[-0.034, -0.0172, -0.1493]","[0.1813, 0.1627, 0.1106]"
1720611620.756,"[0.1395, 0.2085, 0.1897]","[-0.0496, 0.0553, 0.0373]","[-0.1223, -0.0727, -0.0354]","[0.1522, 0.0857, 0.0792]"
1720611620.772,"[-0.0506, 0.0378, 0.1882]","[-0.2191, -0.0957, -0.011]","[-0.2257, -0.1881, -0.0556]","[-0.0211, -0.0245, 0.1386]"
1720611620.772,"[-0.1769, -0.028, 0.089]","[-0.3199, -0.1809, -0.1155]","[-0.1201, -0.2055, -0.1874]","[-0.0157, -0.0658, 0.0101]"
1720611620.788,"[-0.0694, -0.008, 0.1237]","[-0.1835, -0.1384, -0.0503]","[-0.1593, -0.1132, -0.1238]","[-0.0145, 0.0492, 0.0326]"
1720611620.803,"[0.0562, -0.037, 0.123]","[-0.0876, -0.1572, -0.0524]","[-0.1527, -0.1883, -0.1179]","[-0.0064, -0.0627, 0.015]"
1720611620.81,"[0.0029, -0.0512, 0.1026]","[-0.1441, -0.1663, -0.1476]","[-0.1931, -0.194, -0.1271]","[-0.0645, -0.079, 0.0109]"
1720611620.825,"[0.0077, 0.0207, 0.0965]","[-0.1107, -0.0989, -0.0707]","[-0.179, -0.1318, -0.1192]","[-0.0343, -0.0049, 0.0204]"
1720611620.825,"[0.0242, -0.0177, 0.0278]","[-0.0879, -0.0864, -0.0928]","[-0.1857, -0.1391, -0.1592]","[0.0433, -0.0482, -0.0464]"
1720611620.841,"[-0.0259, -0.0544, 0.2742]","[-0.1212, -0.1421, -0.0615]","[-0.1504, -0.1942, -0.1355]","[-0.0984, -0.1077, -0.0131]"
1720611620.841,"[0.0127, -0.0603, -0.0278]","[-0.1124, -0.1298, 0.0441]","[-0.1507, -0.155, -0.1113]","[-0.0785, -0.0184, -0.0168]"
1720611620.857,"[-0.0562, -0.0573, -0.0217]","[-0.1305, -0.1265, -0.033]","[-0.1706, -0.1449, -0.0987]","[-0.0876, -0.0687, -0.0548]"
1720611620.904,"[-0.0586, -0.0486, -0.0145]","[-0.106, -0.1181, -0.0877]","[-0.183, -0.1271, -0.103]","[-0.1028, -0.0649, -0.0413]"
1720611620.904,"[-0.0642, -0.032, -0.0276]","[-0.0926, -0.0969, -0.0592]","[-0.1418, -0.0898, -0.1001]","[-0.063, -0.0434, -0.014]"
1720611620.904,"[-0.0673, -0.0249, 0.0309]","[-0.1288, -0.0629, -0.0474]","[-0.1725, -0.0713, -0.0681]","[-0.0871, 0.0031, -0.0156]"
1720611620.904,"[-0.0647, 0.0382, 0.0475]","[-0.1294, -0.0512, -0.0449]","[-0.1623, -0.0737, -0.0544]","[-0.0805, -0.0033, 0.0001]"
1720611620.91,"[-0.0518, 0.0212, 0.0126]","[-0.0768, -0.0512, -0.0464]","[-0.1129, -0.0413, -0.0521]","[-0.0178, 0.0224, 0.017]"
1720611620.926,"[0.0035, 0.0211, 0.0443]","[-0.0616, -0.0438, -0.0366]","[-0.1175, -0.0489, -0.047]","[-0.0161, 0.023, 0.0191]"
1720611620.926,"[-0.001, 0.0202, 0.036]","[-0.0628, -0.051, -0.047]","[-0.1126, -0.063, -0.0513]","[-0.0094, -0.0049, 0.004]"
1720611620.941,"[-0.0068, 0.0062, 0.0584]","[-0.0738, -0.0553, -0.0431]","[-0.0519, -0.0492, -0.0783]","[0.0083, -0.0265, 0.0123]"
1720611620.941,"[-0.0089, 0.0685, 0.0049]","[-0.0684, -0.0577, -0.0253]","[-0.013, -0.0876, -0.0833]","[0.0031, 0.013, 0.0238]"
1720611620.957,"[0.0349, 0.105, 0.0191]","[-0.0441, -0.0368, -0.0592]","[-0.0127, -0.0123, -0.0894]","[0.0322, 0.0486, -0.0164]"
1720611620.973,"[0.0084, 0.1796, 0.1899]","[-0.0372, -0.0195, 0.0743]","[-0.0188, -0.0334, -0.0471]","[0.0478, 0.0043, 0.015]"
1720611620.973,"[0.0553, 0.1902, 0.1102]","[-0.0266, 0.0424, 0.0475]","[-0.0087, 0.011, -0.064]","[0.0308, 0.0829, -0.0533]"
1720611620.988,"[0.0218, 0.0848, 0.1006]","[-0.0418, 0.0326, 0.0302]","[-0.0077, -0.0003, -0.0138]","[0.0319, 0.0237, 0.0624]"
1720611621.004,"[0.0647, 0.065, 0.0832]","[-0.0305, 0.0156, 0.0187]","[-0.0027, 0.0024, -0.0276]","[0.0331, 0.0586, 0.0406]"
1720611621.01,"[0.0409, -0.0446, 0.0715]","[-0.0056, -0.0205, 0.0015]","[-0.0155, -0.0486, -0.0597]","[0.0241, 0.038, 0.0258]"
1720611621.01,"[0.0326, -0.0401, 0.0306]","[-0.0089, -0.0075, 0.0082]","[-0.0396, -0.0375, -0.0363]","[0.0146, 0.0214, 0.0127]"
1720611621.042,"[0.0253, -0.0015, -0.0116]","[-0.012, -0.0144, 0.0193]","[-0.0407, -0.0269, -0.0012]","[-0.0011, 0.0177, -0.0348]"
1720611621.042,"[0.0143, -0.0302, -0.0344]","[-0.003, -0.0629, -0.0461]","[-0.0281, -0.0746, -0.0448]","[0.0019, -0.0521, -0.0307]"
1720611621.042,"[0.0134, -0.0125, -0.0159]","[-0.01, -0.0457, -0.0146]","[-0.0818, -0.0655, -0.0542]","[0.0052, -0.0396, -0.0062]"
1720611621.057,"[0.0346, 0.0209, -0.0088]","[-0.004, -0.0317, -0.033]","[-0.0433, -0.0831, -0.0241]","[0.0022, -0.0274, 0.0143]"
1720611621.073,"[0.032, 0.0208, 0.0446]","[0.0133, 0.0089, -0.0164]","[-0.0121, -0.0289, -0.0131]","[0.007, -0.0034, 0.0306]"
1720611621.073,"[0.0152, -0.0054, 0.0241]","[0.0103, 0.0162, -0.0213]","[-0.0293, -0.0211, -0.0101]","[0.0007, -0.0276, 0.0438]"
1720611621.088,"[0.0546, 0.0347, 0.0121]","[0.0281, -0.0005, 0.0034]","[-0.0194, 0.0, 0.0189]","[0.0316, 0.0043, 0.0168]"
1720611621.104,"[0.0418, 0.0589, 0.0015]","[0.0031, -0.0721, 0.0245]","[-0.0254, -0.0229, 0.0368]","[0.0244, 0.0431, 0.146]"
1720611621.111,"[0.042, 0.0541, 0.0404]","[-0.0268, -0.0115, 0.005]","[-0.0291, -0.029, 0.1987]","[0.0317, 0.0108, 0.0386]"
1720611621.111,"[0.0702, 0.0666, 0.0698]","[0.0335, 0.0233, 0.0399]","[-0.0202, -0.0148, 0.0344]","[0.0348, 0.0278, 0.0383]"
1720611621.126,"[0.0655, 0.0749, 0.071]","[0.0036, 0.0118, 0.0082]","[0.0425, -0.0283, -0.0321]","[0.0315, 0.0487, 0.0502]"
1720611621.142,"[0.1015, 0.0985, 0.0749]","[0.0206, 0.0446, 0.0212]","[0.0099, -0.0189, 0.0031]","[0.0958, 0.0442, 0.04]"
1720611621.142,"[0.1945, 0.1181, 0.0118]","[0.0813, 0.0179, 0.0255]","[0.0303, -0.0108, -0.0136]","[0.1244, 0.0789, 0.0303]"
1720611621.157,"[0.2087, 0.1056, 0.0741]","[0.1161, -0.0285, -0.0118]","[-0.0708, -0.0923, -0.0241]","[0.1363, -0.0003, -0.0232]"
1720611621.173,"[0.1502, 0.1705, 0.0768]","[0.104, -0.0028, -0.1058]","[-0.0803, -0.0919, -0.1762]","[0.033, 0.0931, -0.0563]"
1720611621.173,"[0.1822, 0.1472, 0.073]","[0.0503, -0.0883, -0.1614]","[-0.0671, -0.1566, -0.2415]","[0.0843, 0.0282, -0.0596]"
1720611621.204,"[0.2111, 0.1173, 0.1313]","[0.0202, -0.0784, -0.1575]","[-0.3194, -0.2152, -0.224]","[-0.0023, -0.0194, -0.0287]"
1720611621.204,"[0.0631, 0.1055, 0.1365]","[-0.1853, -0.1473, -0.1237]","[-0.3701, -0.2736, -0.203]","[-0.1205, -0.025, 0.0439]"
1720611621.211,"[0.1919, 0.1959, 0.1747]","[0.0143, 0.0017, 0.0381]","[-0.112, -0.161, -0.0782]","[0.018, 0.0336, 0.0655]"
1720611621.211,"[0.1962, 0.1941, 0.1374]","[0.0363, -0.0117, -0.0385]","[-0.2024, -0.1876, -0.0717]","[0.0186, 0.02, 0.1066]"
1720611621.227,"[0.0737, -0.0009, 0.0379]","[-0.0112, -0.2201, -0.1005]","[-0.3531, 0.3971, -0.1563]","[-0.07, -0.1344, -0.1277]"
1720611621.242,"[-0.0209, -0.0363, -0.0005]","[-0.1976, -0.3027, -0.0187]","[-0.2347, 0.379, -0.3268]","[-0.0935, -0.1851, -0.076]"
1720611621.242,"[0.0407, 0.3552, 0.2855]","[-0.1154, 0.1731, 0.1313]","[-0.2145, 0.0338, -0.0062]","[-0.0228, 0.2145, 0.1338]"
